index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-10-17,2352.78,2341.18,2312.83,2360.6,21230096200.0,179433000000.0,-0.00649904795207,2359.3680000000013,2344.504000000001,2257.179833333333,2356.8607038852433,2342.1556501205882,2265.463515343659
sh000001,2014-10-16,2361.13,2356.5,2353.41,2389.68,24820116800.0,203806000000.0,-0.007233945746460001,2366.040000000002,2344.0425000000005,2252.4199999999996,2364.701055827865,2342.2583501332815,2262.8968532678323
sh000001,2014-10-15,2358.23,2373.67,2344.37,2374.81,20280491500.0,171767000000.0,0.00601616885112,2372.6140000000014,2341.8015000000005,2247.5996666666665,2368.801583741797,2340.7592290946795,2259.7238632248313
sh000001,2014-10-14,2362.8,2359.48,2349.19,2380.52,19683141800.0,170160000000.0,-0.00276161248753,2374.438000000001,2339.0335000000005,2242.544499999999,2366.367375612695,2337.2949374204354,2255.861279777119
sh000001,2014-10-13,2366.43,2366.01,2341.12,2366.86,20089931400.0,175425000000.0,-0.00359269584846,2375.316000000001,2337.3860000000004,2237.663999999999,2369.8110634190425,2334.959667675218,2252.348778398351
sh000001,2014-10-10,2380.76,2374.54,2365.08,2386.28,22467112600.0,192248000000.0,-0.00620707290747,2373.656000000001,2335.407,2232.3464999999987,2371.711595128563,2331.6912116410303,2248.4958529237756
sh000001,2014-10-09,2383.86,2389.37,2367.11,2391.35,23592001000.0,200272000000.0,0.00276020503661,2368.292000000001,2332.023,2226.7431666666653,2370.2973926928444,2327.180812866402,2244.2231668667373
sh000001,2014-10-08,2368.58,2382.79,2354.29,2382.79,20439732600.0,180338000000.0,0.0080055163778,2359.438000000001,2326.986,2220.897166666665,2360.761089039266,2320.634582641813,2239.3029315379554
sh000001,2014-09-30,2361.32,2363.87,2354.27,2365.49,19391869000.0,166933000000.0,0.0026122794524,2351.596000000001,2321.1490000000003,2215.5843333333314,2349.746633558899,2314.0919071304247,2234.4389593367505
sh000001,2014-09-29,2353.71,2357.71,2346.58,2363.06,20011102100.0,171131000000.0,0.00425647373322,2340.766000000001,2314.731,2210.5186666666646,2342.6849503383482,2308.852107880996,2230.0514629087716
sh000001,2014-09-26,2339.29,2347.72,2329.96,2350.11,17474828500.0,148221000000.0,0.0011150896144000002,2327.1980000000012,2307.7055,2205.546499999998,2335.1724255075223,2303.709171868469,2225.7240512780763
sh000001,2014-09-25,2352.87,2345.1,2336.81,2365.15,22568832300.0,189260000000.0,0.000651995348986,2323.544000000001,2300.1105,2200.8049999999985,2328.8986382612834,2299.076453117782,2221.588591838483
sh000001,2014-09-24,2302.23,2343.58,2297.88,2345.75,22252572500.0,185691000000.0,0.0146584994359,2317.710000000001,2293.329,2196.043666666665,2320.7979573919247,2294.2318692354434,2217.4017607264964
sh000001,2014-09-23,2289.09,2309.72,2289.02,2311.53,15685516900.0,135397000000.0,0.00866950293161,2310.572000000001,2286.5055,2191.156999999999,2309.406936087887,2289.0373291549636,2213.124528350907
sh000001,2014-09-22,2323.55,2289.87,2284.38,2323.55,17584235400.0,147842000000.0,-0.016993274380999998,2307.940000000001,2282.4829999999997,2186.8004999999985,2309.2504041318307,2286.8602059081177,2209.8501024760026
sh000001,2014-09-19,2312.98,2329.45,2305.52,2331.56,17464848700.0,144345000000.0,0.0058391279867100005,2317.794000000001,2280.0299999999997,2182.577833333332,2318.940606197746,2286.5433854773933,2207.1375609156707
sh000001,2014-09-18,2303.85,2315.93,2297.93,2319.88,18908904500.0,144519000000.0,0.00348153055623,2318.2940000000012,2275.0804999999996,2177.731666666665,2313.6859092966192,2282.026899738172,2202.9913723343093
sh000001,2014-09-17,2298.98,2307.89,2282.8,2309.05,21084245300.0,159122000000.0,0.004936959924760001,2317.4440000000013,2271.2944999999995,2172.8911666666654,2312.563863944929,2278.45815234219,2199.1629402628973
sh000001,2014-09-16,2341.03,2296.56,2293.87,2347.94,30269411100.0,237659000000.0,-0.0182054088255,2319.528000000001,2268.1665,2168.3251666666647,2314.900795917393,2275.360063115052,2195.4772732247097
sh000001,2014-09-15,2330.19,2339.14,2321.59,2340.45,21511241400.0,185394000000.0,0.00308325650207,2325.5220000000018,2265.312,2163.7886666666645,2324.0711938760896,2273.1284908113735,2192.050736272455
sh000001,2014-09-12,2308.35,2331.95,2302.78,2331.95,19347154000.0,162103000000.0,0.008768951052459999,2322.980000000002,2259.6915,2158.580833333331,2316.5367908141343,2266.179910896781,2187.064653756939
sh000001,2014-09-11,2315.73,2311.68,2304.6,2343.6,22222179800.0,197233000000.0,-0.00285812263701,2317.962000000002,2253.4175000000005,2153.443999999998,2308.8301862212015,2259.256743622758,2182.1532802023207
sh000001,2014-09-10,2318.5,2318.31,2306.42,2321.91,18982899100.0,163455000000.0,-0.00353402303089,2313.3520000000017,2248.9775,2149.174666666665,2307.405279331802,2253.738506109364,2177.7625384981548
sh000001,2014-09-09,2328.43,2326.53,2315.89,2331.92,19699031800.0,172908000000.0,4.0835064167e-05,2302.9000000000024,2244.1420000000003,2144.981166666665,2301.952918997703,2246.941506752455,2172.998211666503
sh000001,2014-09-05,2311.31,2326.43,2307.45,2327.56,21318191700.0,185840000000.0,0.008483385655489999,2284.696000000002,2239.0480000000002,2140.9719999999984,2289.664378496554,2238.5637706211346,2167.7937373728073
sh000001,2014-09-04,2290.03,2306.86,2283.28,2307.7,19948997800.0,179386000000.0,0.00796765921227,2262.8500000000017,2232.4480000000003,2136.710166666665,2271.281567744831,2229.314693844412,2162.416229581635
sh000001,2014-09-03,2268.4,2288.63,2268.1,2290.55,21247899800.0,187558000000.0,0.009964934515889999,2240.6420000000016,2226.4885000000004,2132.457666666665,2253.492351617246,2221.1520300385605,2157.51982365275
sh000001,2014-09-02,2239.68,2266.05,2234.38,2267.51,19212486900.0,170932000000.0,0.013659069447700001,2224.8100000000013,2222.9305000000004,2128.5629999999983,2235.923527425869,2214.049085832093,2153.0754043901425
sh000001,2014-09-01,2220.13,2235.51,2217.69,2236.29,12916658300.0,117216000000.0,0.0082586144687,2213.0220000000018,2220.6255,2125.0043333333315,2220.8602911388034,2208.5753053933663,2149.2457512860537
sh000001,2014-08-29,2198.95,2217.2,2193.26,2218.7,10520249600.0,93043872850.0,0.009737601203739999,2211.7740000000017,2220.0165,2121.5874999999983,2213.535436708205,2205.7400743821418,2146.3215348901235
sh000001,2014-08-28,2210.48,2195.82,2194.86,2219.47,12422901400.0,109267000000.0,-0.00617660836447,2216.4960000000015,2218.4215000000004,2118.4668333333316,2211.7031550623074,2204.533766422367,2143.9188711693464
sh000001,2014-08-27,2207.03,2209.47,2204.05,2216.67,12088588500.0,104090000000.0,0.00106882043726,2223.4240000000013,2218.7085,2115.8844999999983,2219.6447325934605,2205.4510049931428,2142.1595079275867
sh000001,2014-08-26,2225.29,2207.11,2200.62,2232.79,16350742400.0,134123000000.0,-0.009944044563389999,2229.5720000000015,2217.297,2112.807166666665,2224.7320988901906,2205.027952887158,2139.877792386541
sh000001,2014-08-25,2241.1,2229.27,2222.01,2241.55,16211957800.0,134450000000.0,-0.0051490263351,2237.2160000000013,2216.101,2110.0014999999985,2233.5431483352854,2204.8087900331743,2137.5987304269706
sh000001,2014-08-22,2228.97,2240.81,2225.27,2243.3,16011167200.0,140353000000.0,0.0046420959282799995,2239.256000000001,2213.5350000000003,2106.8338333333318,2235.679722502928,2202.23392582614,2134.4912240197486
sh000001,2014-08-21,2239.57,2230.46,2211.63,2240.08,16573349800.0,140880000000.0,-0.00435360776284,2236.4400000000014,2207.8250000000003,2103.4969999999985,2233.114583754392,2198.173286439418,2130.8871908280403
sh000001,2014-08-20,2241.66,2240.21,2233.89,2248.94,16765838300.0,139628000000.0,-0.00227984305202,2231.642000000001,2201.5550000000003,2100.4931666666653,2234.4418756315877,2194.7746850119884,2127.5118346956388
sh000001,2014-08-19,2242.34,2245.33,2227.93,2246.02,17774459200.0,155445000000.0,0.00261848137011,2228.1760000000013,2193.469,2097.0658333333317,2231.5578134473812,2189.9920202764083,2123.6915501017706
sh000001,2014-08-18,2229.8,2239.47,2228.13,2242.04,16392862600.0,141493000000.0,0.00571779116859,2223.430000000001,2184.9765,2093.6683333333317,2224.6717201710717,2184.166969779188,2119.5682041085915
sh000001,2014-08-15,2207.23,2226.73,2203.24,2230.87,14997869100.0,129407000000.0,0.00918572957843,2220.4660000000013,2175.7270000000003,2090.2533333333317,2217.2725802566074,2178.3455981769976,2115.5037275761065
sh000001,2014-08-14,2221.54,2206.47,2204.38,2230.89,17014912300.0,141707000000.0,-0.00738277466545,2214.0060000000017,2167.344,2086.8293333333318,2212.543870384911,2173.2525032482604,2111.7333369479716
sh000001,2014-08-13,2223.05,2222.88,2202.44,2230.99,17806280600.0,146491000000.0,0.000577062875997,2210.246000000002,2159.8,2083.8039999999983,2215.580805577366,2169.755924642814,2108.521917145223
sh000001,2014-08-12,2222.7,2221.6,2210.0,2222.98,15479904600.0,132394000000.0,-0.00137504528794,2209.1640000000016,2152.0200000000004,2080.2246666666647,2211.9312083660484,2164.1639167104786,2104.6453626085618
sh000001,2014-08-11,2199.43,2224.65,2198.31,2225.96,15058342100.0,126097000000.0,0.0137753625665,2208.834000000001,2144.4580000000005,2076.6176666666647,2207.096812549072,2158.1180132063187,2100.6807887373106
sh000001,2014-08-08,2188.71,2194.43,2180.6,2199.58,13518144300.0,109729000000.0,0.00308821855592,2208.570000000001,2136.5580000000004,2073.315166666665,2198.320218823608,2151.1146461754047,2096.4784317522176
sh000001,2014-08-07,2216.66,2187.67,2185.76,2220.57,17523327400.0,137306000000.0,-0.0134369651832,2206.7440000000015,2129.1845000000003,2070.4908333333315,2200.2653282354117,2146.5551352465,2093.15803075241
sh000001,2014-08-06,2212.0,2217.47,2192.99,2223.89,17771170700.0,140363000000.0,-0.00111714479413,2209.5220000000013,2121.7180000000003,2068.1614999999983,2206.5629923531174,2142.2272547461316,2089.9542263501985
sh000001,2014-08-05,2224.63,2219.95,2206.85,2226.84,17538698700.0,141475000000.0,-0.00152294012902,2202.276000000001,2112.7750000000005,2065.3824999999983,2201.1094885296757,2134.3069657720403,2085.6316454283233
